province,2018年,2017年,2016年,2015年,2014年,dir
北京,7.41,8.06,10.58,8.22,6.56,3.09
天津,6.41,5.89,6.52,5.19,4.45,9.55
河北,23.45,23.24,22.02,19.9,18.57,6.01
山西,8.75,8.22,7.65,7.22,6.56,7.47
内蒙古,9.88,10.09,9.84,9.19,8.84,2.82
辽宁,17.24,16.68,16.01,15.23,15.27,3.08
吉林,12.88,13.36,12.92,12.74,12.21,1.34
黑龙江,19.37,19.69,18.72,18.98,18.73,0.84
上海,5.9,5.88,8.26,6.66,6.15,-1.03
江苏,28.48,28.78,26.13,22.93,21.83,6.87
浙江,15.42,15.77,14.71,13.96,13.58,3.23
安徽,24.38,24.21,21.72,18.12,17.1,9.27
福建,10.69,10.59,9.63,8.93,8.73,5.19
江西,12.51,11.08,10.21,9.52,8.94,8.76
山东,27.45,27.25,25.45,24.09,23.41,4.06
河南,32.6,31.66,27.75,25.23,23.09,9.01
湖北,20.1,19.93,18.31,16.69,15.74,6.3
湖南,21.32,20.76,19.35,18.09,17.6,4.91
广东,22.88,22.03,21.19,19.34,17.79,6.49
广西,12.87,12,11.28,10.44,10.09,6.27
海南,1.96,1.78,1.66,1.51,1.41,8.58
重庆,15.33,15.08,13.9,13.73,13.26,3.69
四川,31.26,31.17,29.62,28.62,27.5,3.26
贵州,15.17,13.45,12.1,10.84,9.57,12.21
云南,13.33,12.71,11.93,10.91,10.05,7.32
西藏,0.47,0.4,0.35,0.24,0.26,15.95
陕西,12.84,10.88,10.14,9.73,8.51,10.83
甘肃,5.78,5.41,5.03,4.62,4.22,8.18
青海,1.71,1.64,1.52,1.28,1.25,8.15
宁夏,2.28,2.22,1.95,1.81,1.58,9.6
新疆,5.95,7.44,9.36,10.18,10.8,-13.85
